DateExecuted,Type,MarketName,ContractName,Shares,Price,ProfitLoss,Fees,Risk,CreditDebit,URL
6/28/2019 9:51 AM,Buy Yes,How many tweets will @whitehouse post from noon June 27 to noon July 4?,160-169,22,$0.11,$0.00,$0.000,($2.420),($2.420),https://www.predictit.org/markets/detail/5639
6/28/2019 9:45 AM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 26 to noon July 3?,119-,50,$0.58,$8.25,($0.825),$20.750,$28.175,https://www.predictit.org/markets/detail/5634
6/28/2019 9:43 AM,Buy Yes,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,20,$0.88,$0.00,$0.000,($17.600),($17.600),https://www.predictit.org/markets/detail/5621
6/28/2019 9:41 AM,Buy Yes,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,75,$0.88,$0.00,$0.000,($66.000),($66.000),https://www.predictit.org/markets/detail/5621
6/28/2019 9:40 AM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 26 to noon July 3?,119-,75,$0.56,$10.50,($1.050),$31.500,$40.950,https://www.predictit.org/markets/detail/5634
6/28/2019 9:37 AM,Buy No,How many @realDonaldTrump tweets mention "debate" noon 6/25 - noon 7/2?,17,121,$0.94,$0.00,$0.000,($113.740),($113.740),https://www.predictit.org/markets/detail/5633
6/28/2019 9:35 AM,Buy No,How many tweets will @vp post from noon 6/21 - noon 6/28?,40-44,6,$0.87,$0.00,$0.000,($5.220),($5.220),https://www.predictit.org/markets/detail/5621
6/28/2019 9:26 AM,Buy No,How many tweets will @vp post from noon 6/21 - noon 6/28?,40-44,216,$0.86,$0.00,$0.000,($185.760),($185.760),https://www.predictit.org/markets/detail/5621
6/28/2019 8:19 AM,Buy Yes,Will Donald Trump be president at year-end 2019?,Yes,49,$0.92,$0.00,$0.000,($45.080),($45.080),https://www.predictit.org/markets/detail/3352
6/28/2019 7:36 AM,Closed,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,596,$1.00,$68.09,($6.809),$527.910,$589.191,https://www.predictit.org/markets/detail/5638
6/27/2019 9:42 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,10,$0.89,$0.00,$0.000,($8.900),($8.900),https://www.predictit.org/markets/detail/5638
6/27/2019 9:42 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,2,$0.88,$0.00,$0.000,($1.760),($1.760),https://www.predictit.org/markets/detail/5638
6/27/2019 9:09 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,68,$0.87,$0.00,$0.000,($59.160),($59.160),https://www.predictit.org/markets/detail/5638
6/27/2019 9:09 PM,Sell Yes,Will Donald Trump be president at year-end 2019?,Yes,50,$0.91,$0.00,$0.000,$45.500,$45.500,https://www.predictit.org/markets/detail/3352
6/27/2019 8:37 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,5,$0.88,$0.00,$0.000,($4.400),($4.400),https://www.predictit.org/markets/detail/5638
6/27/2019 8:04 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,10,$0.88,$0.00,$0.000,($8.800),($8.800),https://www.predictit.org/markets/detail/5638
6/27/2019 8:00 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,189,$0.87,$0.00,$0.000,($164.430),($164.430),https://www.predictit.org/markets/detail/5638
6/27/2019 7:57 PM,Buy No,Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?,No,1,$0.87,$0.00,$0.000,($0.870),($0.870),https://www.predictit.org/markets/detail/5638
